Code	Preferred Term	Synonyms	Definition	Drug Class
C2688	ABI-007	Paclitaxel Albumin-Stabilized Nanoparticle Formulation|ABI 007|ABI-007|Abraxane|Albumin-Stabilized Nanoparticle Paclitaxel|Albumin-bound Paclitaxel|Nanoparticle Albumin-bound Paclitaxel|Nanoparticle Paclitaxel|nab-paclitaxel|nanoparticle paclitaxel|paclitaxel albumin-stabilized nanoparticle formulation|protein-bound paclitaxel	A Cremophor EL-free, albumin-stabilized nanoparticle formulation of the natural taxane paclitaxel with antineoplastic activity. Paclitaxel binds to and stabilizes microtubules, preventing their depolymerization and so inhibiting cellular motility, mitosis, and replication. This formulation solubilizes paclitaxel without the use of the solvent Cremophor, thereby permitting the administration of larger doses of paclitaxel while avoiding the toxic effects associated with Cremophor.	Drugs Approved to Treat Breast Cancer
C63427	AC-T_Regimen	AC-T Regimen|AC-T|AC-T regimen|AC-Taxol Regimen|AC-Taxol regimen	A chemotherapy regimen consisting of doxorubucin hydrochloride (Adriamycin) and cyclophosphamide, followed by paclitaxel (Taxol), administered on either a dose-dense or sequential schedule and used as an adjuvant treatment for breast cancer.	Drug Combinations Used in Breast Cancer
C63415	AC_Regimen	AC Regimen|AC|AC regimen|Adriamycin-Cytoxan Regimen|CA Regimen	A regimen consisting of cyclophosphamide and doxorubicin used in the adjuvant setting for the treatment of breast cancer; also used for the treatment of recurrent and metastatic breast cancer.	Drug Combinations Used in Breast Cancer
C1607	Anastrozole	Anastrozole|2,2'-[5-(1H-1,2,4-Triazol-1-ylmethyl)-1,3-phenylene]di(2-methylpropionitrile)|ANASTROZOLE|Alpha,alpha,alpha', alpha'-tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-1,3-benzenediacetonitrile|Anastrazole|Arimidex|ICI D1033|ICI-D1033|ZD-1033|anastrozole	A nonsteroidal inhibitor of estrogen synthesis that resembles paclitaxel in chemical structure.  As a third-generation aromatase inhibitor, anastrozole selectively binds to and reversibly inhibits aromatase, a cytochrome P-450 enzyme complex found in many tissues including those of the premenopausal ovary, liver, and breast; aromatase catalyzes the aromatization of androstenedione and testosterone into estrone and estradiol, the final step in estrogen biosynthesis.  In estrogen-dependent breast cancers, ananstrozole may inhibit tumor growth. (NCI04)	Drugs Approved to Treat Breast Cancer
C1794	Capecitabine	Capecitabine|5'-Deoxy-5-fluoro-N-[(pentyloxy)carbonyl]-cytidine|CAPECITABINE|Ro 09-1978/000|Xeloda|capecitabine	A fluoropyrimidine carbamate belonging to the class of antineoplastic agents called antimetabolites.  As a prodrug, capecitabine is selectively activated by tumor cells to its cytotoxic moiety, 5-fluorouracil (5-FU); subsequently, 5-FU is metabolized to two active metabolites, 5-fluoro-2-deoxyuridine monophosphate (FdUMP) and 5-fluorouridine triphosphate (FUTP) by both tumor cells and normal cells.  FdUMP inhibits DNA synthesis and cell division by reducing normal thymidine production, while FUTP inhibits RNA and protein synthesis by competing with uridine triphosphate for incorporation into the RNA strand. (NCI04)	Drugs Approved to Treat Breast Cancer
C405	Cyclophosphamide	Cyclophosphamide|(-)-Cyclophosphamide|1-bis(2-chloroethyl)-amino-1-oxo-2-aza-5-oxaphosphoridin monohydrate|2-[bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide monohydrate|2-[bis(b-chloroethyl)amino]-1-oxa-3-aza-2-phosphacyclohexane-2-oxide monohydrate|2-[di(chloroethyl)amino]-1-oxa-3-aza-2-phosphacyclohexane 2-oxide monohydrate|2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate|Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester monohydrate|CP monohydrate|CTX|CYCLO-cell|CYCLOPHOSPHAMIDE|Carloxan|Ciclofosfamida|Ciclofosfamide|Cicloxal|Clafen|Claphene|Cycloblastin|Cycloblastine|Cyclophospham|Cyclophosphamid monohydrate|Cyclophosphamidum|Cyclophosphan|Cyclophosphane|Cyclophosphanum|Cyclostin|Cyclostine|Cytophosphan|Cytophosphane|Cytoxan|Fosfaseron|Genoxal|Genuxal|Ledoxina|Mitoxan|N,N-bis(2-chloroethyl)-N',O-propylenephosphoric acid ester diamide monohydrate|N,N-bis(2-chloroethyl)-N'-(3-hydroxypropyl)phosphorodiamidic acid intramolecular ester monohydrate|N,N-bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide monohydrate|N,N-bis(b-chloroethyl)-N',O-trimethylenephosphoric acid ester diamide monohydrate|N,N-bis(beta-chloroethyl)-N',O-propylenephosphoric acid ester diamide monohydrate|N,N-bis(beta-chloroethyl)-N',O-trimethylenephosphoric acid ester diamide monohydrate|Neosar|Revimmune|Syklofosfamid|WR- 138719|bis(2-chloroethyl)phosphamide cyclic propanolamide ester monohydrate|cyclophosphamide	A synthetic alkylating agent chemically related to the nitrogen mustards with antineoplastic and immunosuppressive activities. In the liver, cyclophosphamide is converted to the active metabolites aldophosphamide and phosphoramide mustard, which bind to DNA, thereby inhibiting DNA replication and initiating cell death.	Drugs Approved to Treat Breast Cancer
C9533	Cyclophosphamide_Doxorubicin_Fluorouracil	CAF Regimen|CAF|CAF regimen|CAFFI|CDF|CTX/DOX/5-FU|Cyclophosphamide-Adriamycin-Fluorouracil Regimen|Cyclophosphamide/Doxorubicin/Fluorouracil|FAC	A chemotherapy regimen consisting of cyclophosphamide, doxorubicin hdrochloride (Adriamycin), and fluorouracil, which may be used in the adjuvant setting for the treatment of nonmetastatic breast cancer or alone for the treatment of metastatic breast cancer.	Drug Combinations Used in Breast Cancer
C9595	Cyclophosphamide_Epirubicin_Fluorouracil	FEC Regimen|CEF|CEF Regimen|CTX/EPI/5-FU|Cyclophosphamide/Epirubicin/Fluorouracil|FEC|FEC 100|FEC regimen|Fluorouracil-Epirubicin-Cytoxan Regimen	A regimen consisting of fluorouracil, epirubicin and cyclophosphamide used in the adjuvant setting and also for the treatment of recurrent and metastatic breast cancer.	Drug Combinations Used in Breast Cancer
C9874	Cyclophosphamide_Fluorouracil_Methotrexate	CMF Regimen|CMF|CMF regimen|CTX/5-FU/MTX|Cyclophosphamide/Fluorouracil/Methotrexate|Cytoxan-Methotrexate-Fluorouracil Regimen	A chemotherapy regimen consisting of cyclophosphamide, methotrexate, and fluorouracil, which may be used in the adjuvant setting for the treatment of nonmetastatic breast cancer or alone for the treatment of metastatic breast cancer.	Drug Combinations Used in Breast Cancer
C1526	Docetaxel	Docetaxel|DOCETAXEL|Docecad|N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol|RP56976|Taxotere|Taxotere Injection Concentrate|[2aR-[2a alphaa,4beta,4a beta,6beta,9alpha,(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-[[(1,1-dimethylethoxy)carbonyl]-amino]-alpha-hydroxybenzemepropanoic Acid 12b-(Acetyloxy)-12(benzyloxy)-2a,3,4,4a,5,6,8,10,11,12,12a,12b-dodecahydeo-4,-6,11-trihydroxy-4a,8,13,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|docetaxel	A semi-synthetic, second-generation taxane derived from a compound found in the European yew tree, Taxus baccata.  Docetaxel displays potent and broad antineoplastic properties; it binds to and stabilizes tubulin, thereby inhibiting microtubule disassembly which results in cell- cycle arrest at the G2/M phase and cell death.  This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and displays immunomodulatory and pro-inflammatory properties by inducing various mediators of the inflammatory response.  Docetaxel has been studied for use as a radiation-sensitizing agent. (NCI04)	Drugs Approved to Treat Breast Cancer
